dimension,function,algorithm_internal,run,best_cost
30,f2_schwefel_2_22,GA-MPC,14,173.753170754464
30,f2_schwefel_2_22,GA-MPC,15,13.301824251221046
30,f2_schwefel_2_22,GA-MPC,16,0.13720628036775118
30,f2_schwefel_2_22,GA-MPC,17,0.09565572181856474
30,f2_schwefel_2_22,GA-MPC,18,0.09443743485320155
30,f2_schwefel_2_22,GA-MPC,19,158.82003129033922
30,f2_schwefel_2_22,GWO,0,1446199173.5125937
30,f2_schwefel_2_22,GWO,1,23581075080.610844
30,f2_schwefel_2_22,GWO,2,1.3273904041464494e+19
30,f2_schwefel_2_22,GWO,3,381275742688.72876
30,f2_schwefel_2_22,GWO,4,5.0706766022646317e+17
30,f2_schwefel_2_22,GWO,5,3.974722297233048e+16
30,f2_schwefel_2_22,GWO,6,607598536130.0168
30,f2_schwefel_2_22,GWO,7,1.3401423177434012e+16
30,f2_schwefel_2_22,GWO,8,13272737936.59535
30,f2_schwefel_2_22,GWO,9,6.399335980002432e+19
30,f2_schwefel_2_22,GWO,10,550.2190900341482
30,f2_schwefel_2_22,GWO,11,21570264.371694785
30,f2_schwefel_2_22,GWO,12,2.044899203631296e+23
30,f2_schwefel_2_22,GWO,13,1670477910.59767
30,f2_schwefel_2_22,GWO,14,13042176180584.932
30,f2_schwefel_2_22,GWO,15,5595102766.798828
30,f2_schwefel_2_22,GWO,16,361859.66657287476
30,f2_schwefel_2_22,GWO,17,426.475051424144
30,f2_schwefel_2_22,GWO,18,392.95761775828174
30,f2_schwefel_2_22,GWO,19,203450515990.44336
30,f2_schwefel_2_22,SHADE,0,0.07716797226418803
30,f2_schwefel_2_22,SHADE,1,0.07855373223581008
30,f2_schwefel_2_22,SHADE,2,0.023987270851311582
30,f2_schwefel_2_22,SHADE,3,0.015120490941401776
30,f2_schwefel_2_22,SHADE,4,0.010812500198772668
30,f2_schwefel_2_22,SHADE,5,0.0006880976147591866
30,f2_schwefel_2_22,SHADE,6,0.0061011005085012116
30,f2_schwefel_2_22,SHADE,7,0.00552811041162693
30,f2_schwefel_2_22,SHADE,8,0.0024898615503361476
30,f2_schwefel_2_22,SHADE,9,0.0028003469015041027
30,f2_schwefel_2_22,SHADE,10,0.022610466661070472
30,f2_schwefel_2_22,SHADE,11,0.05937424723497964
30,f2_schwefel_2_22,SHADE,12,0.0024114454570884902
30,f2_schwefel_2_22,SHADE,13,0.00042649918637360784
30,f2_schwefel_2_22,SHADE,14,0.0021003010767111085
30,f2_schwefel_2_22,SHADE,15,0.01018031083571902
30,f2_schwefel_2_22,SHADE,16,0.003984365162580161
30,f2_schwefel_2_22,SHADE,17,0.04855561275232567
30,f2_schwefel_2_22,SHADE,18,0.21852446659076952
30,f2_schwefel_2_22,SHADE,19,0.005923920683823081
30,f2_schwefel_2_22,CSA,0,1.822862908668801e+24
30,f2_schwefel_2_22,CSA,1,362772645.4092154
30,f2_schwefel_2_22,CSA,2,3185886764996.695
30,f2_schwefel_2_22,CSA,3,112240912288496.62
30,f2_schwefel_2_22,CSA,4,3.735845808393158e+31
30,f2_schwefel_2_22,CSA,5,226914649.72108385
30,f2_schwefel_2_22,CSA,6,4.10957134098712e+39
30,f2_schwefel_2_22,CSA,7,1.3055575823657817e+21
30,f2_schwefel_2_22,CSA,8,7.937204047509433e+24
30,f2_schwefel_2_22,CSA,9,1.4670587559325342e+32
30,f2_schwefel_2_22,CSA,10,5.163634924871646e+24
30,f2_schwefel_2_22,CSA,11,58154181717427.67
30,f2_schwefel_2_22,CSA,12,3029.8147358004553
30,f2_schwefel_2_22,CSA,13,1920787735034821.2
30,f2_schwefel_2_22,CSA,14,4020426499532543.5
30,f2_schwefel_2_22,CSA,15,9.306424796976376e+18
30,f2_schwefel_2_22,CSA,16,143803767160.7657
30,f2_schwefel_2_22,CSA,17,1996797512562.311
30,f2_schwefel_2_22,CSA,18,8.995394942531871e+27
30,f2_schwefel_2_22,CSA,19,11114497121.758284
30,f3_zakharov,Original PSO,0,68925.26631139341
30,f3_zakharov,Original PSO,1,60523.99556377622
30,f3_zakharov,Original PSO,2,118692.84592362543
30,f3_zakharov,Original PSO,3,57829.354935129195
30,f3_zakharov,Original PSO,4,83464.84858394995
30,f3_zakharov,Original PSO,5,132991.69797006072
30,f3_zakharov,Original PSO,6,109434.37647606384
30,f3_zakharov,Original PSO,7,83621.13506070928
30,f3_zakharov,Original PSO,8,87387.19699759418
30,f3_zakharov,Original PSO,9,72065.48832561103
30,f3_zakharov,Original PSO,10,51331.80573510979
30,f3_zakharov,Original PSO,11,74336.22373551577
30,f3_zakharov,Original PSO,12,86083.23231700936
30,f3_zakharov,Original PSO,13,82271.39536698001
30,f3_zakharov,Original PSO,14,82062.7298339334
30,f3_zakharov,Original PSO,15,42234.65003366593
30,f3_zakharov,Original PSO,16,87927.10500902467
30,f3_zakharov,Original PSO,17,114418.50124980652
30,f3_zakharov,Original PSO,18,53093.963799524485
30,f3_zakharov,Original PSO,19,64771.97499850413
30,f3_zakharov,PSO-m,0,73079.35050237483
30,f3_zakharov,PSO-m,1,82577.3560186566
30,f3_zakharov,PSO-m,2,93702.46697581864
30,f3_zakharov,PSO-m,3,69980.48417777932
30,f3_zakharov,PSO-m,4,83228.13488989508
30,f3_zakharov,PSO-m,5,47187.59229140763
30,f3_zakharov,PSO-m,6,69422.37583255589
30,f3_zakharov,PSO-m,7,79073.98281043906
30,f3_zakharov,PSO-m,8,61404.08164322026
30,f3_zakharov,PSO-m,9,98309.21485653882
30,f3_zakharov,PSO-m,10,62969.35417345999
30,f3_zakharov,PSO-m,11,95438.13049300395
30,f3_zakharov,PSO-m,12,41741.767101638456
30,f3_zakharov,PSO-m,13,66725.63767495449
30,f3_zakharov,PSO-m,14,66701.03327330643
30,f3_zakharov,PSO-m,15,82489.7286954393
30,f3_zakharov,PSO-m,16,110399.03747103727
30,f3_zakharov,PSO-m,17,68457.29387964914
30,f3_zakharov,PSO-m,18,73403.33227814788
30,f3_zakharov,PSO-m,19,57525.92684438801
30,f3_zakharov,PSO-RIW,0,27235.787101531318
30,f3_zakharov,PSO-RIW,1,64041.53928930166
30,f3_zakharov,PSO-RIW,2,104220.04860709453
30,f3_zakharov,PSO-RIW,3,88257.7789313665
30,f3_zakharov,PSO-RIW,4,101275.78229614369
30,f3_zakharov,PSO-RIW,5,83115.77538801172
30,f3_zakharov,PSO-RIW,6,66752.42986442962
30,f3_zakharov,PSO-RIW,7,66119.75600849488
30,f3_zakharov,PSO-RIW,8,65603.18659613517
30,f3_zakharov,PSO-RIW,9,93133.84689341123
30,f3_zakharov,PSO-RIW,10,171270.03089278715
30,f3_zakharov,PSO-RIW,11,50210.79945245735
30,f3_zakharov,PSO-RIW,12,92962.50932161398
30,f3_zakharov,PSO-RIW,13,93124.89633189658
30,f3_zakharov,PSO-RIW,14,44174.20244733202
30,f3_zakharov,PSO-RIW,15,55445.8835320954
30,f3_zakharov,PSO-RIW,16,88519.3087521658
30,f3_zakharov,PSO-RIW,17,155692.95309862928
30,f3_zakharov,PSO-RIW,18,93371.35234401064
30,f3_zakharov,PSO-RIW,19,46147.17746113098
30,f3_zakharov,HPPSO_Modified,0,27939.713308371585
30,f3_zakharov,HPPSO_Modified,1,18894.850794267946
30,f3_zakharov,HPPSO_Modified,2,26919.530273089083
30,f3_zakharov,HPPSO_Modified,3,27662.908482624272
30,f3_zakharov,HPPSO_Modified,4,17243.522389636862
30,f3_zakharov,HPPSO_Modified,5,21718.504683322863
30,f3_zakharov,HPPSO_Modified,6,14405.727326191578
30,f3_zakharov,HPPSO_Modified,7,20435.263138551894
